ID,Predicted
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,0
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,1
56,1
57,0
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,0
99,0
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,1
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,0
128,1
129,0
130,0
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,0
139,1
140,1
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,1
149,1
150,1
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,0
183,1
184,1
185,0
186,0
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,0
206,1
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,0
237,1
238,1
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,1
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,0
273,1
274,1
275,1
276,1
277,1
278,0
279,0
280,0
281,0
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,0
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,0
329,1
330,1
331,1
332,1
333,1
334,0
335,0
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,0
390,0
391,1
392,1
393,1
394,1
395,1
396,0
397,0
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,0
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,0
434,0
435,0
436,1
437,0
438,1
439,1
440,1
441,1
442,0
443,1
444,1
445,1
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,1
454,1
455,1
456,1
457,0
458,0
459,1
460,0
461,1
462,0
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,0
477,1
478,1
479,1
480,0
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,0
490,1
491,1
492,1
493,1
494,1
495,1
496,0
497,1
498,0
499,1
500,0
501,0
502,0
503,1
504,1
505,0
506,0
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,0
532,1
533,1
534,1
535,1
536,0
537,0
538,0
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,0
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,0
566,1
567,1
568,0
569,1
570,1
571,1
572,1
573,1
574,0
575,1
576,0
577,1
578,0
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,1
588,1
589,1
590,0
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,0
601,1
